RANK,State,Student Success,Student Safety,School Quality
1,New Jersey,4,2,5
2,New Hampshire,3,7,3
3,Connecticut,2,16,1
4,Vermont,8,5,4
5,Massachusetts,1,13,6
6,New York,13,22,2
7,Maine,6,3,11
8,Colorado,10,1,21
9,Pennsylvania,12,15,8
10,Virginia,7,12,13
11,Delaware,16,8,9
12,Maryland,5,29,10
13,Washington,9,26,23
14,Wyoming,24,14,15
15,Minnesota,15,19,22
16,Iowa,17,23,18
17,South Dakota,22,6,27
18,Ohio,39,4,12
19,Wisconsin,25,18,17
20,Illinois,11,41,14
21,Nebraska,33,17,16
22,Rhode Island,18,46,7
23,Indiana,20,37,19
24,Oregon,21,24,35
25,North Dakota,29,11,31
26,Missouri,32,35,20
27,Montana,28,28,32
28,Kansas,27,31,30
29,Michigan,19,39,37
30,Kentucky,36,30,26
31,Georgia,38,34,25
32,Arkansas,34,40,24
33,Idaho,26,20,45
34,West Virginia,37,32,29
35,Alaska,30,36,39
36,Hawaii,31,42,34
37,Utah,23,21,48
38,Texas,46,25,38
39,Mississippi,50,9,41
40,California,14,49,36
41,Tennessee,43,38,33
42,Florida,42,27,43
43,North Carolina,35,43,40
44,Oklahoma,48,10,47
45,South Carolina,40,47,28
46,Alabama,47,33,44
47,New Mexico,41,44,42
48,Nevada,45,50,46
49,Louisiana,49,48,49
50,Arizona,44,45,50
